,a_education,b_income,c_eastwest,d_sex,e_age,f_political_interest,g_preferred_party
26,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
27,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,AFD
28,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD
29,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN
30,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD
31,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
32,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,FDP
33,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,SPD
34,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
35,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
36,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
37,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
38,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,SPD
39,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,FDP
40,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,SPD
41,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE
42,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
43,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
44,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
45,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD
46,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD
47,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
48,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
49,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
50,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
51,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,FDP
52,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
53,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
54,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
55,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,SPD
56,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
57,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
58,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
59,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
60,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,AFD
61,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
62,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN
63,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
64,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
65,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,FDP
66,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
67,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
68,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,DIE LINKE
69,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
70,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
71,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
72,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
73,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,DIE LINKE
74,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
75,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
76,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
77,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD
78,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
79,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,SPD
80,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
81,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
82,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE
83,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,DIE LINKE
84,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD
85,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
86,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,FDP
87,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,SPD
88,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
89,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE
90,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
91,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
92,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD
93,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,SPD
94,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,SPD
95,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
96,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD
97,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
98,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU
99,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
100,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
101,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
102,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,SPD
103,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE LINKE
104,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
105,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,SPD
106,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,WUERDE NICHT WAEHLEN
107,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN
108,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,SPD
109,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,AFD
110,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
111,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN
112,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
113,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
114,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,CDU-CSU
115,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
116,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,AFD
117,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD
118,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
119,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
120,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,SPD
121,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE
122,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
123,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
124,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU
125,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
126,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
127,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN
128,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
129,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP
130,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD
131,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE
132,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
133,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,FDP
134,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
135,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
136,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
137,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE
138,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD
139,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,AFD
140,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
141,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN
142,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,AFD
143,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE LINKE
144,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
145,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU
146,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE
147,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
148,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN
149,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
150,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
151,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,FDP
152,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
153,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU
154,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,FDP
155,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,WUERDE NICHT WAEHLEN
156,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE
157,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
158,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN
159,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE
160,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
161,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
162,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,AFD
163,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
164,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE
165,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
166,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU
167,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
168,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN
169,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,DIE GRUENEN
170,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE
171,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD
172,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,SPD
173,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
174,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,DIE GRUENEN
175,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,SPD
176,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD
177,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
178,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,WUERDE NICHT WAEHLEN
179,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
180,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
181,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
182,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
183,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
184,EHER UNGEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
185,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
186,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
187,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,DIE GRUENEN
188,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD
189,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,AFD
190,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU
191,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN
192,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,SPD
193,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN
194,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD
195,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
196,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN
197,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD
198,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,WUERDE NICHT WAEHLEN
199,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,AFD
200,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
201,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
202,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
203,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU
204,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
205,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN
206,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,AFD
207,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,CDU-CSU
208,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
209,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,AFD
210,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE
211,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD
212,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,FDP
213,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU
214,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,WUERDE NICHT WAEHLEN
215,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD
216,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
217,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
218,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN
219,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,SPD
220,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
221,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
222,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE
223,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
224,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
225,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
226,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN
227,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU
228,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP
229,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,FDP
230,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU
231,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN
232,EHER UNGEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN
233,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN
234,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,FDP
235,EHER UNGEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,AFD
236,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD
237,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,NEIN,CDU-CSU
238,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN
239,EHER UNGEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,SPD
240,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU
